"","dna_con_ug_ml","sample_id","day","container","treatment_combo","food","ph","temperature","data_inoculated","chitinase","protease","respiration_co2_ppm_hr","ph_final","color","final_volume_ml","richness","shannon.16s","ef.16s"
"exp2_3_DAY15_tube",9.5235,"3","15","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.133628817,953.3290944,13629.38148,NA,NA,NA,46,2.87630084142851,18
"exp2_3_DAY57_tube",1.881,"3","57","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.052805247,395.7921261,2407.860302,7.96,"LT",20,56,2.21477009357484,9
"exp2_30_DAY1_tube",3.036,"30","1","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.019392183,246.4406715,NA,NA,NA,NA,37,2.39780466431118,11
"exp2_30_DAY15_tube",4.686,"30","15","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.230006825,147.8963493,5569.733972,NA,NA,NA,38,2.21526558136053,9
"exp2_30_DAY57_tube",1.186,"30","57","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.141667961,275.986397,7771.303597,7.98,"LT",20,46,2.16050658170136,9
"exp2_31_DAY1_tube",2.781,"31","1","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.020536292,252.6473128,NA,NA,NA,NA,34,2.37554149200787,11
"exp2_31_DAY15_tube",6.156,"31","15","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.219725039,178.6786018,4253.195707,NA,NA,NA,34,2.248394955815,9
"exp2_31_DAY57_tube",5.776,"31","57","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.144375728,292.307948,7381.470392,8.02,"LT",20,42,2.26592104244888,10
"exp2_32_DAY1_tube",1.901,"32","1","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.023239357,252.5296334,NA,NA,NA,NA,33,2.3501014767081,10
"exp2_32_DAY15_tube",3.011,"32","15","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.204343799,175.4952559,7350.746246,NA,NA,NA,34,2.31416627237005,10
"exp2_32_DAY57_tube",9.011,"32","57","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.108078017,284.2159851,2896.430861,7.95,"LT",20,38,2.20673111067966,9
"exp2_4_DAY1_tube",2.111,"4","1","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.013761194,346.9332169,NA,NA,NA,NA,42,2.65131643209064,14
"exp2_4_DAY15_tube",2.8635,"4","15","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.111931227,890.0551064,13682.94766,NA,NA,NA,42,2.90044033603624,18
"exp2_4_DAY57_tube",5.666,"4","57","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.064091655,557.870732,3414.047253,7.95,"LT",20,47,1.70348939738879,5
"exp2_5_DAY1_tube",2.331,"5","1","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.007094876,312.2595401,NA,NA,NA,NA,40,2.69175773115407,15
"exp2_5_DAY15_tube",10.8485,"5","15","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.09445435,1084.395235,20587.20906,NA,NA,NA,41,2.95344932647829,19
"exp2_5_DAY57_tube",2.121,"5","57","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.040673948,527.7115323,3647.651151,8.13,"LT",20,45,2.88360616541268,18
"exp2_6_DAY1_tube",2.851,"6","1","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.009659062,278.5443813,NA,NA,NA,NA,33,2.69735682142005,15
"exp2_6_DAY15_tube",14.366,"6","15","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.061598437,1115.788381,20696.27113,NA,NA,NA,43,2.85875618208841,17
"exp2_6_DAY57_tube",3.6435,"6","57","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.052576745,435.2712779,2771.766066,7.99,"LT",20,44,2.32346088167672,10
"exp2_7_DAY1_tube",3.5085,"7","1","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.011633611,287.1397254,NA,NA,NA,NA,38,2.72394182542019,15
"exp2_7_DAY15_tube",18.7735,"7","15","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.05533207,1098.691979,17779.41605,NA,NA,NA,42,2.77105307075043,16
"exp2_7_DAY57_tube",8.0385,"7","57","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.050544383,521.0330533,2630.450552,8.01,"LT",20,43,1.93139430585804,7
"exp2_8_DAY1_tube",3.141,"8","1","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.011525727,300.6747587,NA,NA,NA,NA,43,2.74823449852766,16
"exp2_8_DAY15_tube",6.4885,"8","15","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.057049184,1077.488548,19644.91555,NA,NA,NA,36,2.78654825060889,16
"exp2_8_DAY57_tube",2.162,"8","57","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.045582293,508.5842888,1814.055818,8.08,"LT",20,47,2.44950934082658,12
"exp2_81_DAY1_tube",0.726,"81","1","tube","temp22_ph3_food3",3,3,22,"3/21/22",0.021749407,94.48773989,NA,NA,NA,NA,41,2.1011157689547,8
"exp2_81_DAY15_tube",8.906,"81","15","tube","temp22_ph3_food3",3,3,22,"3/21/22",NA,711.4893343,23673.71792,NA,NA,NA,46,2.88926328614644,18
"exp2_81_DAY57_tube",1.547,"81","57","tube","temp22_ph3_food3",3,3,22,"3/21/22",0.088100595,1081.214737,2744.171592,7.88,"LT",20,89,3.00134160812064,20
"exp2_82_DAY1_tube",0.801,"82","1","tube","temp22_ph3_food3",3,3,22,"3/21/22",0.022051084,89.66002551,NA,NA,NA,NA,39,2.22909789148557,9
"exp2_82_DAY15_tube",3.2145,"82","15","tube","temp22_ph3_food3",3,3,22,"3/21/22",NA,702.7033017,19393.21631,NA,NA,NA,73,3.65346665091282,39
"exp2_82_DAY57_tube",1.7545,"82","57","tube","temp22_ph3_food3",3,3,22,"3/21/22",0.092753592,836.0050609,2403.693526,7.94,"LT",20,79,2.80917069148538,17
"exp2_83_DAY1_tube",1.0735,"83","1","tube","temp37_ph3_food3",3,3,37,"3/21/22",0.009545045,20.90609735,NA,NA,NA,NA,47,2.11431645079848,8
"exp2_83_DAY15_tube",5.492,"83","15","tube","temp37_ph3_food3",3,3,37,"3/21/22",NA,106.4580481,16833.59055,NA,NA,NA,29,1.85144491907252,6
"exp2_83_DAY57_tube",4.4085,"83","57","tube","temp37_ph3_food3",3,3,37,"3/21/22",0.200826028,504.7124521,1145.8506,7.7,"LT",20,29,2.1223257165811,8
"exp2_84_DAY1_tube",0.9485,"84","1","tube","temp37_ph3_food3",3,3,37,"3/21/22",0.008763499,21.11351825,NA,NA,NA,NA,43,2.15667643364827,9
"exp2_84_DAY15_tube",1.567,"84","15","tube","temp37_ph3_food3",3,3,37,"3/21/22",NA,118.9177269,16065.79522,NA,NA,NA,29,1.856215801179,6
"exp2_84_DAY57_tube",2.431,"84","57","tube","temp37_ph3_food3",3,3,37,"3/21/22",0.216985404,574.6638665,1427.113561,7.59,"LT",20,34,2.30562011413099,10
"exp2_85_DAY1_tube",1.7685,"85","1","tube","temp22_ph3_food6",6,3,22,"3/21/22",0.012124423,63.96111497,NA,NA,NA,NA,45,2.18555677819807,9
"exp2_85_DAY15_tube",6.2145,"85","15","tube","temp22_ph3_food6",6,3,22,"3/21/22",NA,723.0858497,29905.60424,NA,NA,NA,53,3.10266186541226,22
"exp2_85_DAY57_tube",7.511,"85","57","tube","temp22_ph3_food6",6,3,22,"3/21/22",0.11399826,861.4555135,15549.95385,7.9,"LT",20,38,2.06484343811385,8
"exp2_86_DAY1_tube",1.7235,"86","1","tube","temp22_ph3_food6",6,3,22,"3/21/22",0.011183921,65.23600157,NA,NA,NA,NA,42,2.09869136813627,8
"exp2_86_DAY15_tube",3.581,"86","15","tube","temp22_ph3_food6",6,3,22,"3/21/22",NA,839.7247137,29368.89956,NA,NA,NA,37,2.45612263683024,12
"exp2_86_DAY57_tube",3.2045,"86","57","tube","temp22_ph3_food6",6,3,22,"3/21/22",0.055669348,815.8081494,18753.4236,8.1,"LT",20,43,2.61720248882971,14
"exp2_87_DAY1_tube",0.5535,"87","1","tube","temp37_ph3_food6",6,3,37,"3/21/22",0.005270394,12.23527943,NA,NA,NA,NA,39,2.47599830823995,12
