"","dna_con_ug_ml","sample_id","day","container","treatment_combo","food","ph","temperature","data_inoculated","chitinase","protease","respiration_co2_ppm_hr","ph_final","color","final_volume_ml","scaled_chit","scaled_prot","richness","shannon.16s","ef.16s"
"exp2_27_DAY1_tube",1.3935,"27","1","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.049436588,202.8878914,NA,NA,NA,NA,-0.67067473235647,-0.499867346407627,39,2.51689026193659,12.3900070164038
"exp2_27_DAY15_tube",2.5385,"27","15","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.185146256,240.4644134,4564.379495,NA,NA,NA,1.21282678705647,-0.429902273104343,41,2.73904959555343,15.4722731890788
"exp2_27_DAY57_tube",4.801,"27","57","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.176946602,238.7398319,6203.261488,7.72,"LT",20,1.09902457240762,-0.433113333219619,45,2.30061820267943,9.98035042746558
"exp2_28_DAY1_tube",1.001,"28","1","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.048016063,181.8004954,NA,NA,NA,NA,-0.690390063145313,-0.539130724931999,37,2.51259161766271,12.3368610932359
"exp2_28_DAY15_tube",2.3885,"28","15","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.186657566,224.652557,4642.532686,NA,NA,NA,1.23380211418868,-0.459342935337186,42,2.70346336033655,14.9313549408455
"exp2_28_DAY57_tube",3.7535,"28","57","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.238524272,296.5251299,4132.556335,7.76,"LT",20,1.95365517254222,-0.325520815465524,43,2.37257866032696,10.7250128218833
"exp2_29_DAY1_tube",4.6685,"29","1","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.021087634,212.4142316,NA,NA,NA,NA,-1.0641271570781,-0.482129912102105,40,2.37436219436038,10.7441583155046
"exp2_29_DAY15_tube",4.5285,"29","15","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.219315523,221.8036483,7024.578708,NA,NA,NA,1.6870587799586,-0.464647420569478,40,2.83231365988525,16.9847122471994
"exp2_29_DAY57_tube",3.9635,"29","57","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.143070874,227.0323818,7794.594019,7.91,"LT",20,0.628866579248135,-0.45491185423338,40,2.1600542727511,8.67160827773011
"exp2_3_DAY1_tube",1.6885,"3","1","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.012690399,303.6613489,NA,NA,NA,NA,-1.18067157955335,-0.31223363350006,39,2.62192789578387,13.7622301714242
