,rowname,ID,BetaNTI,dna_con_ug_ml,sample_id,day,container,treatment_combo,food,ph,temperature,data_inoculated,chitinase,protease,respiration_co2_ppm_hr,ph_final,color,final_volume_ml
97,exp2_MIX_GROUP1,exp2_17_DAY1_tube,0.438174326,2.086,17,1,tube,temp37_ph4_food3,3,4,37,3/14/22,0.043943435,242.3911702,NA,NA,NA,NA
101,exp2_MIX_GROUP1,exp2_17_DAY15_tube,-0.777463606,5.1185,17,15,tube,temp37_ph4_food3,3,4,37,3/14/22,0.175393916,269.8147796,11068.38108,NA,NA,NA
105,exp2_MIX_GROUP1,exp2_17_DAY57_tube,-0.70176672,2.5385,17,57,tube,temp37_ph4_food3,3,4,37,3/14/22,0.152708738,448.7120076,7274.347796,7.72,LT,20
109,exp2_MIX_GROUP1,exp2_18_DAY1_tube,0.512038318,2.9135,18,1,tube,temp37_ph4_food3,3,4,37,3/14/22,0.033367507,208.6247639,NA,NA,NA,NA
113,exp2_MIX_GROUP1,exp2_18_DAY15_tube,-0.424161172,2.5135,18,15,tube,temp37_ph4_food3,3,4,37,3/14/22,0.213231279,271.5579815,7765.84273,NA,NA,NA
117,exp2_MIX_GROUP1,exp2_18_DAY57_tube,-0.634277577,3.076,18,57,tube,temp37_ph4_food3,3,4,37,3/14/22,0.210854369,197.1836698,12671.54729,7.72,LT,20
121,exp2_MIX_GROUP1,exp2_19_DAY1_tube,0.331186241,4.116,19,1,tube,temp37_ph4_food3,3,4,37,3/14/22,0.034574945,221.4622619,NA,NA,NA,NA
125,exp2_MIX_GROUP1,exp2_19_DAY15_tube,-0.299127504,4.271,19,15,tube,temp37_ph4_food3,3,4,37,3/14/22,0.197065133,249.0755498,10023.31746,NA,NA,NA
129,exp2_MIX_GROUP1,exp2_19_DAY57_tube,-0.698590417,4.506,19,57,tube,temp37_ph4_food3,3,4,37,3/14/22,0.185896117,264.0575499,11576.49482,7.73,LT,20
145,exp2_MIX_GROUP1,exp2_20_DAY1_tube,0.508693718,3.4385,20,1,tube,temp37_ph4_food3,3,4,37,3/14/22,0.040438242,274.6192026,NA,NA,NA,NA
